aX,aY,aZ,gX,gY,gZ
1.002,-0.091,-0.145,3.113,0.916,1.160
1.002,-0.100,-0.148,4.578,1.587,0.000
1.019,-0.156,-0.162,6.714,2.136,-0.671
1.022,-0.167,-0.166,6.348,1.587,0.244
1.017,-0.156,-0.165,3.967,0.977,1.648
1.012,-0.108,-0.159,3.357,1.343,1.160
1.012,-0.099,-0.157,4.761,1.709,-0.916
1.011,-0.110,-0.156,5.859,1.831,-1.465
1.011,-0.112,-0.159,7.324,2.014,-1.221
1.016,-0.109,-0.164,7.935,1.770,-1.038
1.015,-0.109,-0.164,9.338,1.526,-1.343
1.016,-0.127,-0.163,9.949,1.648,-1.587
1.022,-0.138,-0.164,10.437,1.404,-0.854
1.028,-0.130,-0.162,10.376,1.099,-0.122
1.028,-0.121,-0.162,10.376,0.916,0.061
1.022,-0.121,-0.164,10.620,0.122,-1.221
1.006,-0.145,-0.168,10.437,-0.122,-1.770
1.010,-0.153,-0.167,9.155,0.122,-0.549
1.017,-0.128,-0.160,8.362,0.427,0.427
1.020,-0.108,-0.159,8.423,0.854,0.366
1.014,-0.096,-0.160,9.216,0.671,-0.671
1.006,-0.110,-0.162,10.315,0.610,-2.075
1.010,-0.126,-0.166,10.132,0.732,-1.892
1.014,-0.120,-0.166,9.277,1.160,-1.526
1.015,-0.106,-0.165,9.094,1.343,-1.953
1.010,-0.109,-0.166,8.972,1.343,-2.808
1.001,-0.137,-0.168,8.484,1.343,-4.150
1.006,-0.149,-0.168,7.751,1.404,-4.028
1.012,-0.150,-0.168,5.554,1.465,-2.747
1.013,-0.127,-0.166,4.639,1.526,-2.502
1.009,-0.120,-0.165,4.272,1.892,-3.235
1.006,-0.130,-0.166,4.456,2.136,-3.540
1.008,-0.133,-0.168,4.456,2.686,-3.052
1.012,-0.134,-0.174,4.333,2.869,-2.625
1.016,-0.136,-0.176,4.211,2.625,-1.892
1.015,-0.138,-0.177,3.967,2.258,-1.709
1.012,-0.133,-0.176,3.662,2.319,-1.343
1.013,-0.121,-0.174,3.845,2.625,-1.221
1.015,-0.122,-0.178,4.211,2.747,-1.099
1.017,-0.128,-0.182,4.944,2.380,-1.160
1.020,-0.141,-0.187,4.700,1.953,-1.038
1.019,-0.139,-0.185,3.784,1.282,-0.549
1.013,-0.123,-0.180,3.601,1.282,-0.488
1.013,-0.118,-0.178,4.089,1.526,-1.099
1.012,-0.124,-0.181,4.517,1.465,-1.465
1.011,-0.133,-0.182,4.944,0.854,-1.404
1.011,-0.134,-0.182,4.944,0.732,-0.977
1.010,-0.128,-0.179,4.944,0.977,-0.488
1.003,-0.118,-0.177,5.249,1.160,-0.549
1.001,-0.122,-0.180,5.798,1.404,-0.793
1.006,-0.137,-0.183,5.676,1.404,-0.671
1.010,-0.140,-0.183,5.249,1.404,-0.366
1.011,-0.135,-0.181,3.906,1.526,-0.061
1.007,-0.114,-0.179,3.601,1.770,-0.427
1.005,-0.113,-0.181,4.028,2.502,-1.892
1.013,-0.137,-0.191,4.150,2.686,-2.197
1.018,-0.144,-0.194,3.357,2.319,-1.465
1.021,-0.131,-0.192,2.747,2.014,-1.099
1.017,-0.119,-0.190,2.747,1.404,-1.404
1.010,-0.116,-0.190,3.357,1.282,-1.770
1.011,-0.126,-0.191,4.395,0.977,-1.648
1.011,-0.142,-0.194,4.456,0.671,-1.099
1.013,-0.142,-0.193,4.150,0.488,-0.427
1.015,-0.136,-0.191,3.174,0.183,0.305
1.007,-0.116,-0.185,2.991,0.122,0.122
