aX,aY,aZ,gX,gY,gZ
1.005,-0.030,-0.270,-0.854,0.366,-0.244
0.997,-0.032,-0.268,-2.319,0.061,0.244
0.993,-0.009,-0.267,-2.808,0.122,0.305
0.995,0.003,-0.268,-2.319,0.183,-0.366
0.998,-0.005,-0.267,-1.770,0.244,-0.671
0.996,-0.020,-0.266,-1.404,0.610,-0.854
0.992,-0.031,-0.263,-1.892,0.793,-0.549
0.995,-0.023,-0.264,-2.686,0.793,0.122
1.001,-0.007,-0.266,-2.380,0.610,0.244
1.000,-0.012,-0.264,-1.404,0.305,0.427
0.988,-0.029,-0.261,-1.343,0.488,0.610
0.985,-0.028,-0.262,-1.587,0.732,1.038
0.990,-0.000,-0.264,-1.953,1.038,1.770
0.992,0.009,-0.265,-1.465,0.977,1.648
0.993,0.006,-0.265,0.305,1.282,0.916
0.996,-0.014,-0.266,0.671,1.587,1.099
0.998,-0.014,-0.269,0.305,1.831,1.648
1.007,-0.009,-0.273,0.183,1.526,1.465
1.009,-0.013,-0.274,0.000,0.488,0.732
1.002,-0.024,-0.275,-0.427,0.244,0.793
0.998,-0.021,-0.275,-1.526,0.305,1.526
0.996,-0.004,-0.274,-1.953,0.366,1.587
0.997,-0.002,-0.273,-1.953,0.305,0.977
0.999,-0.012,-0.271,-2.014,0.183,0.671
0.997,-0.012,-0.270,-2.197,-0.061,0.610
0.992,-0.007,-0.269,-2.747,-0.183,0.916
0.994,0.002,-0.268,-2.625,0.122,0.793
0.997,-0.003,-0.268,-2.197,0.488,0.427
0.992,-0.008,-0.267,-2.319,0.549,0.366
0.990,-0.004,-0.267,-2.563,0.732,0.244
0.989,0.010,-0.266,-2.319,0.977,0.122
0.991,0.011,-0.265,-0.977,1.526,-0.244
0.996,-0.004,-0.268,-0.427,1.648,-0.366
0.998,-0.010,-0.270,-0.122,1.709,-0.183
1.000,-0.010,-0.276,-0.122,1.648,-0.061
1.000,-0.010,-0.277,0.000,0.854,0.305
1.004,-0.015,-0.276,-0.122,0.488,0.427
1.005,-0.019,-0.276,-0.916,-0.183,0.671
0.999,-0.020,-0.274,-1.465,-0.488,0.671
0.993,-0.017,-0.273,-2.014,-0.549,0.427

1.010,0.191,-0.386,154.358,-14.099,-29.114
0.985,0.118,-0.389,178.833,-16.724,-28.809
0.957,-0.004,-0.401,185.974,-16.296,-26.917
0.956,-0.006,-0.417,194.397,-15.686,-23.010
0.996,0.077,-0.448,198.669,-15.991,-23.621
1.010,0.094,-0.460,211.304,-20.264,-26.489
0.979,-0.007,-0.463,216.919,-22.644,-26.306
0.953,-0.054,-0.456,219.299,-23.132,-23.437
0.966,-0.050,-0.447,217.529,-22.339,-21.057
0.979,-0.047,-0.445,213.684,-22.217,-18.921
0.981,-0.098,-0.421,211.121,-22.461,-18.860
0.970,-0.121,-0.408,201.721,-22.278,-17.029
0.958,-0.094,-0.378,194.702,-20.630,-16.907
0.976,-0.064,-0.365,181.091,-18.005,-21.179
0.964,-0.122,-0.337,174.744,-16.296,-24.292
0.941,-0.171,-0.321,166.992,-14.343,-25.818
0.921,-0.211,-0.287,145.569,-9.399,-21.667
0.933,-0.217,-0.273,133.362,-5.798,-19.043
0.935,-0.232,-0.266,108.826,1.404,-14.648
0.944,-0.276,-0.270,95.520,5.920,-11.780
0.976,-0.272,-0.280,65.918,14.038,-6.653
1.034,-0.215,-0.293,51.147,14.954,-6.470
1.031,-0.193,-0.292,26.062,11.353,-10.864
0.984,-0.157,-0.288,15.442,9.644,-12.756
0.977,-0.117,-0.289,-1.709,9.827,-13.000
1.018,-0.021,-0.298,-6.958,10.437,-12.817
1.030,0.002,-0.300,-10.742,8.301,-13.000
1.009,0.008,-0.292,-10.742,6.409,-11.963
1.000,0.024,-0.289,-9.216,4.578,-8.423
1.021,0.069,-0.285,-7.080,4.456,-7.019
1.027,0.063,-0.281,-4.028,4.150,-6.226
0.999,0.003,-0.270,1.465,2.686,-4.700
0.985,-0.018,-0.267,2.197,2.747,-3.174
0.983,-0.013,-0.270,0.244,3.601,-0.244
0.996,0.031,-0.273,-0.427,3.479,-0.183
0.993,0.030,-0.270,0.000,2.136,-2.441
0.984,-0.004,-0.262,0.000,2.075,-3.052
0.991,-0.009,-0.263,-2.014,2.869,-2.319
1.006,0.012,-0.270,-3.113,2.808,-1.831
1.010,0.019,-0.272,-3.784,1.404,-2.075
1.000,0.010,-0.268,-3.845,0.610,-2.197
0.995,0.008,-0.265,-4.272,0.610,-1.038
0.994,0.024,-0.263,-4.395,0.916,-0.122
0.993,0.034,-0.264,-4.089,1.587,0.427
0.997,0.039,-0.265,-3.662,1.953,-0.061
0.998,0.028,-0.266,-3.052,2.136,-0.793
0.996,0.006,-0.269,-2.686,2.380,-1.099
1.004,0.006,-0.271,-3.052,2.747,-0.671
1.013,0.010,-0.273,-3.479,2.258,-0.244
1.014,0.008,-0.273,-3.418,1.343,-0.244
1.004,0.001,-0.271,-3.662,-0.122,-0.305
0.990,-0.002,-0.265,-4.211,-0.305,-0.122
0.991,0.004,-0.263,-4.944,-0.244,0.366
0.991,0.012,-0.262,-5.127,-0.244,0.427
0.992,0.011,-0.260,-5.310,-0.427,0.366
0.995,0.010,-0.257,-5.432,-0.488,0.427
0.995,0.016,-0.255,-5.676,0.000,1.221
1.004,0.029,-0.258,-5.432,0.305,1.282
1.006,0.031,-0.261,-4.517,0.305,0.488
0.997,0.028,-0.258,-4.089,0.122,0.244
0.994,0.026,-0.257,-3.784,0.122,0.305
0.999,0.023,-0.264,-3.418,0.854,0.732
1.002,0.024,-0.269,-3.357,0.977,0.793
1.000,0.025,-0.271,-3.052,0.305,0.366
0.989,0.022,-0.269,-2.869,0.122,-0.061
0.992,0.019,-0.269,-2.625,0.305,-0.549
0.998,0.019,-0.269,-2.625,0.244,-0.610
1.001,0.021,-0.269,-2.502,-0.305,-0.305
0.997,0.013,-0.266,-2.197,-0.610,-0.183
0.988,0.006,-0.262,-2.258,-0.244,0.610
0.981,0.013,-0.265,-2.747,0.427,1.160
0.988,0.027,-0.267,-3.174,1.404,0.916
1.001,0.031,-0.269,-2.686,1.221,0.061
1.001,0.013,-0.269,-1.892,0.732,-0.610
0.996,-0.013,-0.270,-2.441,0.854,0.061
0.999,-0.002,-0.269,-3.357,0.977,0.916
1.003,0.017,-0.268,-4.272,0.488,1.221
1.002,0.035,-0.266,-3.845,0.061,0.732
0.998,0.027,-0.264,-2.808,0.061,-0.061
0.991,0.007,-0.263,-2.930,0.366,-0.061
0.990,0.008,-0.264,-4.028,1.160,0.549
1.004,0.029,-0.272,-4.272,1.160,0.610
1.012,0.037,-0.275,-3.357,0.366,-0.061
1.013,0.030,-0.274,-2.441,-0.305,-0.488
1.003,0.020,-0.271,-1.038,-1.221,-0.549
0.993,0.010,-0.269,-0.732,-1.099,0.000
1.000,0.013,-0.271,-0.793,-0.977,0.549
1.002,0.017,-0.270,-0.793,-1.282,0.305
0.996,0.012,-0.266,-0.793,-1.709,-0.061
0.984,-0.005,-0.261,-1.221,-1.648,-0.244
0.982,-0.005,-0.259,-1.953,-1.160,0.183
0.987,0.013,-0.262,-3.235,-0.061,0.854
0.990,0.020,-0.263,-3.479,0.244,0.854
0.991,0.021,-0.264,-3.235,0.671,0.488
0.994,0.016,-0.264,-3.113,0.854,0.366
0.998,0.015,-0.265,-3.052,0.732,0.427
0.994,0.019,-0.266,-2.930,0.549,0.549
0.994,0.022,-0.266,-2.319,0.549,0.732
0.998,0.022,-0.270,-1.953,0.610,0.732
1.003,0.021,-0.272,-1.526,0.549,0.793
